keyword,url,title,description,desc_lang,title_lang
rl,vi.wikipedia.org,Mạch điện RL – Wikipedia tiếng Việt,"RL Nối tiếp[sửa | sửa mã nguồn]. R có điện Kháng. ZR = R. L có điện Kháng. Z L = ω L {\displaystyle Z_{L}=\omega L} {\displaystyle Z_{L}=\omega L}.
  ·   ·   · ",vi,vi
rl,en.wikipedia.org,RL - Wikipedia,"RL, Rl or rl may refer to: Contents. 1 In arts and entertainment; 2 Businesses and organizations; 3 People known by the given initials; 4 In science and ...",en,sw
rl,www.rlcarriers.com,R+L Carriers | Freight shipping and logistics company,"R+L Carriers freight shipping and logistics company. Services include LTL, Truckload, Logistics, Warehousing and more. R+L Carriers: A freight carrier you can ...",en,en
rl,www2.rlcarriers.com,Shipment Tracing - R+L Carriers,Use this tool for tracing all of your freight shipments. Enter your PRO number to track your shipment. You can enter as many as 25 numbers for multiple shipment  ...,en,en
cafef,cafef.vn,CafeF,"CafeF - Kênh tin tức kinh tế, tài chính, thông tin chứng khoán của Việt Nam mới nhất được cập nhật liên tục, chính xác và đầy đủ,chuyên sâu.",vi,cy
xxnx,xxnx.fun,Vietnam - XXNX - XXNX.fun,"Take a look the biggest collection of vietnam porno videos, available exclusively at XXNX.fun for free. We also offer everyday updates and 720p quality ...",en,lv
ipstatp,s1.ipstatp.com,Playable,,,tl
i-batdongsan,i-batdongsan.com,I-batdongsan.com,"Kênh thông tin số 1 về bất động sản tại Việt Nam: mua bán nhà đất, bán căn hộ chung cư, bán biệt thự, bán nhà mặt phố. Cho thuê nhà, nhà trọ giá rẻ, thông tin ...",vi,tl
i-batdongsan,batdongsan.com.vn,Batdongsan.com,"Kênh thông tin số 1 về bất động sản tại Việt Nam. Mang đến nguồn thông tin mua bán và cho thuê nhà đất, văn phòng, chung cư... Cập nhật tin tức bất động sản ...",vi,tl
gojekapi,www.gojek.io,"Gojek: On-Demand Services for Transport, Payment, Food Delivery ...","200 million internel API calls per second. We process an average of 35 orders every second.
  ·   ·   · ",en,en
pubmatic,pubmatic.com,PubMatic,PubMatic is a digital advertising technology company who empowers premium app developers and publishers to maximize their programmatic advertising ...,en,en
pubmatic,en.wikipedia.org,Pubmatic - Wikipedia,"PubMatic is a company that develops and implements online advertising software and strategies for the digital publishing and advertising industry. PubMatic's ...

Headquarters:  
Founder: ",en,sw
am,vi.wikipedia.org,AM – Wikipedia tiếng Việt,AM có thể là: Am: nơi thờ cúng; Viết tắt của: Điều chế biên độ (amplitude modulation) (AM) trong kỹ thuật vô tuyến; nguyên tố hóa học Americium (Am); hợp âm ...,vi,vi
am,vi.wikipedia.org,.am – Wikipedia tiếng Việt,"net.am và.org.am, bất cứ ai có thể đăng ký tên miền dưới.am miễn là trả tiền. Luật Armenia cấm sử dụng tên miền dưới.am để hoạt động website sử dụng để ...",vi,vi
am,www.xemlicham.com,Lịch âm,"Lịch âm 2020 ngày âm lich hôm nay. Lịch vạn niên & xem ngày tốt xấu, ngày hoàng đạo. Ngày lễ âm lịch, dương lịch hôm nay. Chính xác nhất!",vi,vi
am,vn.yamaha.com,"Yamaha Music Vietnam - Cung Cấp Nhạc Cụ, Âm Thanh Chính Hãng","Yamaha Music chuyên cung cấp sản phẩm âm thanh từ gia đình đến chuyên nghiệp như piano, organ, bass, trống, kèn đồng kèn gỗ, bộ gõ, âm thanh gia đình , ...",vi,vi
tencent,vi.wikipedia.org,Tencent – Wikipedia tiếng Việt,"Tencent Holdings Limited (tiếng Trung: ""腾讯控股有限公司"", Hán-Việt: Đằng Tấn khống cổ hữu hạn công ty); là một công ty cổ phần đầu tư Trung Quốc với các ...
  ·   ·  

Công ty con:  
Tổng vốn chủ sở hữu:  
Người sáng lập:  
Lợi nhuận kinh doanh: ",vi,vi
tencent,en.wikipedia.org,Tencent - Wikipedia,"Tencent Holdings Ltd, also known as Tencent, is a Chinese multinational technology conglomerate holding company. Founded in 1998, its subsidiaries globally ...

Net income:  
Total assets:  
Industry:  
Operating income: ",en,en
tencent,www.tencent.com,Tencent 腾讯,腾讯于1998年11月成立，是一家以互联网为基础的平台公司，通过技术丰富互联网用户的生活，助力企业数字化升级。我们的使命是“用户为本科技向善”。Founded ...,zh-cn,fr
icloud-,www.icloud.com,iCloud,"Sign in to iCloud to access your photos, videos, documents, notes, contacts, and more. Use your Apple ID or create a new account to start using Apple services.",en,ca
icloud-,vi.wikipedia.org,iCloud – Wikipedia tiếng Việt,"Khởi động năm 2011, iCloud dựa trên Amazon Web Services và Microsoft Azure (Sách trắng Apple iOS Security được xuất bản năm 2014, Apple đã thừa nhận ...

Ngôn ngữ có sẵn:  
Phát hành lần đầu:  
Phát triển bởi:  
Viết bằng: ",vi,vi
xh,vi.wikipedia.org,Bản mẫu:Xh-thiếu nguồn gốc – Wikipedia tiếng Việt,Cách dùng: {{xh-thiếu nguồn gốc|ngày=|tháng=|năm=|không tự do=không/có}} Thông báo cho người tải lên bằng: {{thế:xh-thiếu nguồn gốc-tb|1=Xh-thiếu nguồn  ...,vi,vi
bluekai,partner.bluekai.com,Login - Oracle Data Cloud,"Oracle Data Cloud supports the latest versions of every major browser, including Internet Explorer, Firefox, Chrome and Safari. If you are seeing this message, ...",en,it
bluekai,en.wikipedia.org,BlueKai - Wikipedia,"BlueKai is a cloud-based big data platform that enables companies to personalize online, offline, and mobile marketing campaigns. BlueKai was created in 2008 ...",en,sw
vnpay,vnpay.vn,VNPAY,Là công ty hàng đầu về giải pháp thanh toán với hơn 10 năm kinh nghiệm trong lĩnh vực thanh toán điện tử với ngành kinh doanh cốt lõi là Tài Chính Ngân ...,vi,de
vnpay,www.vnpayment.vn,Cổng thanh toán VNPAY,Accept payment FAST & EASY Your e-commerce business starts here. Tìm hiểu thêm. cong thanh toan truc tuyen. Giới thiệu · Liên hệ · Điều khoản sử dụng.,vi,vi
moh,moh.gov.vn,Bộ Y tế,"Ghi rõ nguồn Cổng thông tin điện tử Bộ Y tế hoặc http://moh.gov.vn khi phát hành lại thông tin. ĐT: 0246.273.2.273 |Fax:0243.8464.051. Xin chào, mời bạn nhập ...",vi,vi
moh,www.moh.gov.sg,Updates on COVID-19 (Coronavirus Disease 2019) Local ... - MOH,"Ministry of Health (MOH) is an innovative, people-centred organisation, committed to medical excellence, the promotion of good health, the reduction of illness ...
  ·   · ",en,en
moh,www.moh.gov.sg,Ministry of Health,"Ministry of Health (MOH) is an innovative, people-centred organisation, committed to medical excellence, the promotion of good health, the reduction of illness ...
  ·   · ",en,en
moh,www.moh.gov.my,Portal Rasmi Kementerian Kesihatan Malaysia,Negara Menggembleng Tenaga Ke Arah Kesihatan Yang Lebih Baik.,id,id
lbesecapi,psi.lbesecapi.com,Parallel Space Uninstall Survey,"1, Why did you uninstall Parallel Space? (multiple choice). I don't have second account of Facebook/etc. The second account of Facebook/etc is not working in ...",en,en
azureedge,ampdemo.azureedge.net,Azure Media Player,"azure, azure media services, azure media player, features, demo, amp, embed, media player, media services, ams.",en,en
snssdk,i.snssdk.com,今日头条,Không có thông tin nào cho trang này. · ,vi,zh-cn
sohatv,play.sohatv.vn,SOHATV,Tự động phát sau. 3. Current Time0:00. /. Duration0:00. 0:00.,vi,de
sohatv,soha.vn,"Tin tức tổng hợp, tin nhanh mới nhất trong ngày | soha.vn","Cập nhập tin tức sự kiện, báo mới nhất ở VN, các TIN NHANH độc quyền phản ánh đầy đủ chuyển động kinh tế & xã hội Việt Nam, thế giới trong 24h qua.
  ·   ·   · ",vi,vi
iabtechlab,iabtechlab.com,IAB Tech Lab,"... members/companies are listed at https://iabtechlab.com/about-the-iab-tech-lab/ tech-lab-leadership/. For more information, please visit https://iabtechlab.com.",en,de
iabtechlab,www.iab.com,IAB Tech Lab Archives | IAB,"Learn more: https://iabtechlab.com. Driving Brand and Media Growth via: Transparent, safe, effective supply chain; Scalable & more consistent measurement ...",en,de
doubleverify,doubleverify.com,DoubleVerify,"DoubleVerify authenticates the quality of digital media for the world's largest brands ensuring viewable, fraud-free, brand-safe ads.",en,no
vietnamnet,vietnamnet.vn,Vietnamnet,"Đọc báo điện tử VietNamNet, cập nhật tin nhanh Việt Nam và thế giới. Sự kiện, tin báo mới trong ngày, kinh tế, xã hội, pháp luật 24h qua.",vi,sv
vietnamnet,vi.wikipedia.org,VietNamNet – Wikipedia tiếng Việt,"VietNamNet được cấp giấy phép hoạt động trên mới nhất vào ngày 23 tháng 1 năm 2003 (số giấy phép: 27/GP-BVHTT). Báo điện tử ra hằng ngày bằng tiếng ...

Chủ sở hữu:  
Khuynh hướng chính trị:  
Tổng biên tập:  
Loại hình: ",vi,vi
kompa,corona.kompa.ai,By Kompa Group: Realtime Monitoring SARS-CoV-2,Quần đảo Hoàng Sa - Số liệu cập nhật thông tin lây nhiễm: 0. Quần đảo Trường Sa - Số liệu cập nhật thông tin lây nhiễm: 0. Tin chính thức mới nhất. Về đầu ...,vi,en
kompa,www.kompas.com,"Kompas.com: Berita Terkini Hari Ini, Kabar Akurat Terpercaya","Kompas.com - Berita Indonesia dan Dunia Terkini Hari Ini, Kabar Harian Terbaru Terpercaya Terlengkap Seputar Politik, Ekonomi, Travel, Teknologi, Otomotif, ...",id,id
dable,dable.io,Dable | No. 1 Content Discovery Platform,"Dable Inc. là một công ty xử lý dữ liệu lớn đẳng cấp thế giới với các chuyên gia hơn 10 năm kinh nghiệm đến từ các công ty công nghệ hàng đầu. Hệ thống của  ...
  ·   ·   · ",vi,en
dable,dable.io,For Advertisers_vi | Dable,Native Ad được tạo ra trông tương tự như nội dung chính trên trang web để thu hút sự chú ý của người dùng nhiều hơn mà không gây khó chịu. Dable phân ...,vi,no
dable,dable.io,Home | Dable,Personalized content recommendation and native advertising services based on the best personalization technology. Bring users to your site and make more ...,en,da
dable,dable.io,Contact | Dable,"Tìm hiểu thêm về Dable? Chúng tôi sẽ liên hệ với bạn trong thời gian sớm nhất. V.v. (Tuyển dụng, Quan hệ đối tác ...) Nhà phát hành, Đại lý / Nhà quảng cáo.",vi,en
dable,static.dable.io,Dable Introduction,Quảng cáo nội dung của tôi. Native ad có sẵn trong khu vực bạn đang xem. Native ad có sẵn trong khu vực bạn đang xem. Bắt đầu quảng cáo hiệu quả trên các ...,vi,en
dable,dable.io,For Publishers_vi | Dable,"Dịch vụ Dable chỉ hỗ trợ trang web hoặc định dạng blog. Những nền tảng video ( như Youtube, Dailymotion, etc) tạm thời không tương thích với dịch vụ của ...",vi,en
dable,dable.io,About_delete | Dable,"Dable được thành lập bởi 4 doanh nhân từ RecoPick, dự án nội bộ của SK Planet, dựa trên nhiều năm nghiên cứu về công cụ tìm kiếm và công cụ đề xuất của họ.",vi,fr
line-apps,line.me,LINE - Ứng dụng nhắn tin và gọi điện miễn phí cho Smart phone,"Đừng chần chừ khi bạn muốn nghe giọng nói hoặc nhìn thấy một ai đó. Hãy gọi họ ngay! Hàng ngàn Sticker độc đáo. LINE cung cấp hơn 10,000 sticker và biểu ...",vi,vi
line-apps,line.me,Ứng dụng nhắn tin và gọi điện miễn phí cho Smart phone - LINE,LINE - Ứng dụng nhắn tin và gọi điện miễn phí cho Smart phone. ... Mobile. Google Play; App Store. APK; LINE Lite. PC / Mac. Windows store · Chrome.,vi,vi
line-apps,en.wikipedia.org,Line (software) - Wikipedia,"Line is a freeware app for instant communications on electronic devices such as smartphones, tablet computers, and personal computers. Line users exchange ...

Android:  
Chrome Web Store:  
Microsoft Store (Windows 10):  
IOS: ",en,en
onthe,www.onthemarket.com,"OnTheMarket | Property, Houses & Flats for Sale & to Rent","... new & exclusive* properties here · See New & Exclusive properties. Give yourself the edge and view relevant properties as soon as they come on the market.
  ·   · ",en,en
onthe,www.onthebeach.co.uk,Everything's Better On the Beach – Find & Book Cheap Holiday Deals,"Book super cheap all inclusive holidays & hotels with deposits from just £30pp! Save on low cost flights & accommodation in 1000's of destinations worldwide!
  ·   ·   · ",en,en
onthe,www.ontheborder.com,On The Border - Mexican Grill & Cantina,"Enjoy tasty Tex-Mex food such as fajitas, burritos, & queso paired with some of the best drinks at an On The Border - Mexican Grill & Cantina location near you.",en,en
onthe,www.ontheborder.com,View Our Full Mexican Food & Drink Menu | On The Border,Browse our full food and drink menu at a location near you and order online with our to-go option or even plan your next catered event!,en,en
amazonaws,aws.amazon.com,Amazon Web Services (AWS) – Dịch vụ ...,"Amazon Web Services đem đến các dịch vụ điện toán đám mây tin cậy, quy mô linh hoạt và ít tốn kém. Tham gia miễn phí, chỉ trả phí cho những gì bạn sử dụng.",vi,vi
amazonaws,www.amazonaws.cn,Amazon Web Services (AWS) - Cloud Computing Services,"In China, a large and growing team of solution architects, customer support technicians, and sales staff are employed to support AWS China (Beijing) Region  ...",en,en
amazonaws,www.amazonaws.cn,AWS Products | AWS Cloud Service list | AWS,"For the available services list, please visit http://amazonaws.cn/about-aws/ regional-product-services/.To use AWS information technology services outside of ...",en,en
amazonaws,en.wikipedia.org,Amazon Web Services - Wikipedia,"Amazon Web Services (AWS) is a subsidiary of Amazon providing on-demand cloud computing ... ""Just how big is Amazon's AWS business? (hint: it's absolutely  ...",en,en
amazonaws,en.wikipedia.org,Amazon S3 - Wikipedia,The Amazon AWS authentication mechanism allows the bucket owner to create an authenticated URL which is valid for a specified amount of time. Every item in a ...,en,sw
amazonaws,boto3.amazonaws.com,Quickstart — Boto3 Docs 1.14.60 documentation - AWS,"Configuration¶. Before you can begin using Boto3, you should set up authentication credentials. Credentials for your AWS account can be found in the IAM ...",en,en
noibaiconnect,www.noibaiconnect.com,NoiBaiConnect,"Taxi nội bài trọn gói 11O.OOOđ cho khách hàng tuyến Hà Nội đi Nội Bài. Xe sang, xế tốt, dịch vụ đúng giờ. Tổng đài 24h: (024) 62.666.OOO. Book ngay hôm  ...
  ·   ·   · ",vi,fr
noibaiconnect,www.noibaiconnect.com,Số điện thoại taxi Nội Bài | Nội Bài Connect,"... đường Bưởi, Quận Ba Đình, Hà Nội Thanh Xuân, Hà Nội Tel: (024) 62.666.000 . Fax: (024) 62.666.000. Hotline: 083.311.0000. Email: info@noibaiconnect.",vi,vi
noibaiconnect,www.noibaiconnect.com,Bảng giá taxi Nội Bài - NoiBaiConnect,"Taxi Noi Bai - Trọn Gói, An Toàn, Đúng Hẹn | Đăng kýĐăng nhập. TỔNG ĐÀI NOIBAI CONNECT (024) 62.666.000. TRANG CHỦ · BẢNG GIÁ · LOẠI XE · LỊCH  ...",vi,vi
noibaiconnect,www.noibaiconnect.com,"Taxi noi bai, taxi sân bay trọn gói giá rẻ - Đại lý - NoiBaiConnect",Khai báo số TK Ngân hàng để nhận hoa hồng hàng tháng. Mọi thắc mắc xin vui lòng liên hệ tổng đài NoiBai Connect: (024) 62.666.000 để biết thêm chi tiết.,vi,vi
bizfly,bizfly.vn,Bizfly - Giải pháp thúc đẩy chuyển đổi số đến từ VCCorp hàng đầu ...,"Bizfly cung cấp giải pháp phần mềm chatbot, thiết kế web, crm, email marketing nhằm hỗ trợ doanh nghiệp ứng dụng chuyển đổi số giúp tăng trưởng kinh ...
  ·   ·   · ",vi,vi
bizfly,bizfly.vn,Chatbot bán hàng online tự động 24/7 trên Facebook ... - Bizfly,"Lưu trữ tới 10,000 user. Có lưu trữ, trích xuất dữ liệu khách hàng. Kết nối và quản lý livechat trên Zalo (Chỉ có tại BizFly Chat). Miễn phí DUY NHẤT trong tháng 9 ...",vi,vi
bizfly,bizflycloud.vn,BizFly Cloud - Cung cấp dịch vụ điện toán đám mây tốt nhất tại Việt ...,"BizFly Cloud - Cung cấp các dịch vụ trên nền tảng điện toán đám mây như Cloud Server, CDN giá rẻ, miễn phí dùng thử tốt nhất tại Việt Nam.
  ·   ·   · ",vi,vi
bizfly,bizflycloud.vn,Bảng giá BizFly CloudServer | BizFly Cloud,"BizFly Cloud Server tốc độ cao, bảo mật, an toàn và ổn định cam kết uptime > 99.99%, toàn quyền quản trị với đội ngũ support 24/7. Chi phí hợp lý! Đăng ký ...",vi,vi
bizfly,bizflycloud.vn,Về BizFly Cloud | BizFly Cloud,BizFly Cloud là bộ phận công nghệ cốt lõi của Công ty Cổ phần VCCorp - công ty dẫn đầu trong lĩnh vực truyền thông - internet tại Việt Nam.,vi,en
bizfly,manage.bizflycloud.vn,Đăng nhập - Bizfly Cloud,Đăng nhập. Email. Mật khẩu. Quên mật khẩu. Đăng nhập. Chưa có tài khoản? Đăng ký · Bảo mật · Điều khoản sử dụng.,vi,vi
bizfly,bizflycloud.vn,Giới Thiệu Về BizFly Cloud - Techblog của VCCloud,"Năm 2014, BizFly Cloud hoàn thiện và công bố hệ thống Public Cloud, cung cấp Cloud Server cho các cá nhân và doanh nghiệp tại Việt Nam. Cũng trong năm ...",vi,vi
bizfly,bizflycloud.vn,"BizFly CDN - Dịch vụ hỗ trợ tăng tốc, tối ưu và bảo vệ website hàng ...","BizFly CDN - Đơn vị cung cấp dịch vụ thuê CDN giá rẻ, trải nghiệm dùng thử miễn phí CDN giúp tối ưu dung lượng và phân phối nội dung, truyền tải dữ liệu ...",vi,vi
tcbs,www.tcbs.com.vn,Techcom Securities,"TCBS nỗ lực mang đến những giải pháp đáp ứng đa dạng mọi nhu cầu, bắt nguồn từ chính những trăn trở riêng biệt ấy. TCWealth. Robo Advisor đầu tiên được ...",vi,en
congnghesotoancau,taxi.congnghesotoancau.com.vn,Hệ thống quản trị website,"Địa chỉ: 15/32 NGUYỄN VĂN TRỖI, THANH XUÂN, HÀ NỘI Điện thoại: (04)3 864 5012 - Fax: (04)3 864 5011. Email: admin@congnghesotoancau.com.vn",vi,vi
congnghesotoancau,congnghesotoancau.com.vn,CÔNG TY CỔ PHẦN ĐẦU TƯ CÔNG NGHỆ SỐ TOÀN CẦU,"499 Lương Thế Vinh, Quận Nam Từ Liêm, Hà Nội. 024.3864.5012 - Fax: 024.3864.5011. admin@congnghesotoancau.com.vn. Toggle navigation. GIỚI THIỆU.",vi,vi
soft123,soft123.com.vn,vnChart-Phần mềm phân tích kỹ thuật Chứng khoán Việt Nam,Soft123 - Make things easier.,en,vi
soft123,soft123.com.vn,vnChart-Phân tích kỹ thuật Chứng khoán Việt Nam,Chi nhánh: Hoang Quoc Viet - Ha Noi. (điền địa chỉ email vào phần ghi chú để tự động gia hạn ). Copyright © 2011 Soft123. Email: soft123vn@gmail.com.,vi,vi
soft123,soft123.com.vn,vnChart-Phân tích kỹ thuật Chứng khoán Việt Nam,Admin@soft123.com.vn. Mong các bạn góp ý để sản phẩm ngày càng hoàn thiện 15/01/2012 00:18. Copyright © 2011 Soft123. Email: soft123vn@gmail.com.,vi,vi
momo,momo.vn,Ví Điện Tử MoMo - Siêu Ứng Dụng Thanh Toán số 1 Việt Nam,"Ví Điện Tử MoMo - Siêu Ứng Dụng Thanh Toán với hàng trăm tiện ích được gần 20 triệu người tin dùng ✅An toàn ✅Bảo mật ✅Tiện lợi ✅Nhanh chóng.
  ·   ·   · ",vi,vi
momo,momo.vn,Hướng dẫn tải và cài đặt Ví MoMo,"  Hướng dẫn tải và cài đặt ứng dụng Ví MoMo trên Apple Store và Google Play tiện dụng và nhanh chóng, truy cập ngay để tìm hiểu các bước download.",vi,vi
momo,momo.vn,Tìm Điểm Nạp Rút Tiền Bằng Ví MoMo,Dễ dàng tìm thấy điểm nạp rút MoMo mọi lúc mọi nơi trên toàn quốc. ✅An toàn ✅Bảo mật ✅Tiện lợi ✅Nhanh chóng.,vi,vi
momo,momo.vn,Trang thông tin chính thức Ví MoMo - Ví điện tử số 1 Việt Nam,"  Trang thông tin chính thức các tin tức sự kiện, thông tin khuyến mãi, video -hình ảnh, sự kiện mới nhất của Ví MoMo - Ví điện tử số 1 Việt Nam.",vi,vi
momo,vimomo.vn,"Ví MoMo là gì, nhận khuyến mại từ ví điện tử MoMo","Ví MoMo được sử dụng trên điện thoại thông minh với hơn 1,5 triệu người dùng, cung cấp cho khách hàng trải nghiệm thanh toán một chạm (One Touch ...",vi,vi
cloudlinks,cloudlinks.cn,公告,"In order to enhance monitoring performance and user service, the web player has been suspended since August 29, 2018. Hence all service from the web ...",en,ko
cloudlinks,cloudlinks.net,CloudLinks – Managed Services,CloudLinks. Managed Services. Menu. Solutions & Services Menu. Managed Cloud · Managed Services · Professional Services · Support · Blog · Contact.,en,en
cloudlinks,cloudlink.ie,Cloudlink,"Cloudlink is based in Westport, Co. Mayo and we provide cloud based products & services for small businesses in many industries. Click on one of the services ...",en,da
qq,im.qq.com,I'm QQ - 每一天，乐在沟通,腾讯QQ，8亿人在用的即时通讯软件，你不仅可以在各类通讯终端上通过QQ聊天交友，还能进行免费的视频、语音通话，或者随时随地收发重要文件。欢迎访问QQ  ...,zh-cn,vi
qq,ssl.zc.qq.com,QQ Registration - QQ注册,You can find your password by using the phone number. Send. Code. I have read and agreed to the Service Agreement and the Privacy Policy. Tencent QQ ...,en,it
qq,www.qq.com,腾讯首页,新闻APP 体育APP 企鹅号 快报 视频 浏览器 微视 · 微信 QQ 空间 企业微信 邮箱 腾讯云 电脑管家 会员 · LOL DNF CF 王者 单机游戏 火影OL 天刀 爱玩 逆战 · 软件 Q  ...,ko,zh-cn
qq,www.imqq.com,QQ International - Fun to Chat,"Chat with millions of new friends on QQ, now with HD video calls and live translation to 50 idioms. Massive chat rooms and users from all around the world.",en,en
qq,vi.wikipedia.org,Tencent QQ – Wikipedia tiếng Việt,"Tencent QQ được phát hành lần đầu tiên tại Trung Quốc vào tháng 2 năm 1999 dưới tên OICQ (""Open ICQ"", một tham chiếu đến dịch vụ ban đầu về IM ICQ). Sau  ...",vi,vi
zalo,chat.zalo.me,Zalo Web - Đăng nhập Zalo,"Đăng nhập Zalo Web để chat ngay trên máy tính. Zalo Web gửi hình, video cực nhanh lên đến 1GB, phân loại khách hàng, quản lý nhóm tiện lợi.",vi,vi
zalo,zalo.me,Zalo PC - Tải Zalo PC để làm việc nhóm hiệu quả và gửi file nhanh,"Tải Zalo PC cho máy tính để sử dụng các tính năng vượt trội như gửi file 1GB, Chụp màn hình, Phân loại nhóm,... Download Zalo trên các nền tảng Windows, ...",vi,vi
zalo,oa.zalo.me,Zalo Official Account,"Đăng ký ngay để trải nghiệm các chức năng nổi bật: Gửi tin nhắn broadcast cho người quan tâm, thiết lập chức năng trả lời tự động.",vi,it
sendo,www.sendo.vn,Sendo,"Sendo – Mua gì cũng có, giá khỏi phải lo ✅ SHOPPING ONLINE Mua Bán Thời Trang Nam Nữ, Thế Giới Di Động - LAPTOP ✨ Khuyến Mãi Hấp Dẫn ✨ Miễn ...",vi,pt
sendo,vi.wikipedia.org,Thành viên:DoratomGo/Sendo.vn – Wikipedia tiếng Việt,"Nó là công ty con của tập đoàn phần mềm Việt Nam Tập đoàn FPT. Theo số liệu thống kê quý III năm 2019 của iPrice, Shopee và Sendo nổi lên như hai nền tảng  ...",vi,vi
tienphong,www.tienphong.vn,Tiền Phong,"TIENPHONG.VN - Báo Tiền Phong điện tử, Tien Phong Online, tin tức cập nhật liên tục trong ngày.",vi,vi
vnpt,vnpt.com.vn,VNPT: Tập đoàn Bưu chính Viễn thông Việt Nam,"Tập đoàn Bưu chính Viễn thông Việt Nam chuyên đầu tư & kinh doanh trong lĩnh vực viễn thông: thuê bao điện thoại + Internt + truyền hình.v.v.v cho Cá nhân ...
  ·   · ",vi,vi
vnpt,banhangvnpt.vn,TRUNG TÂM KINH DOANH VNPT HÀ NỘI,"VNPT, VNPT Hà Nội, Truyền hình MyTV, Mạng VNPT, Internet VNPT, Đăng ký Internet, FiberVNN - Website chính thức của VNPT Hà Nội.",vi,vi
vnpt,kinhdoanh.hanoi.vnpt.vn,Tổng đài chăm sóc khách hàng VNPT tại Hà Nội sẽ sử dụng duy ...,"Với mục tiêu nâng cao hơn nữa chất lượng chăm sóc khách hàng, từ ngày 05/06/ 2020, VNPT trên địa bàn Hà Nội chính thức ngừng số 024.800126 và chỉ sử ...",vi,vi
vnpt,vinaphonehanoi.vnpt.vn,VNPT VinaPhone Hà Nội,"Mạng giáo dục Việt Nam - vnEdu,Bảo mật thư điện tử mCA Mail,Cho thuê chỗ đặt máy chủ (VNPT Colocation),Cho thuê máy chủ (Dedicated Server),Cho thuê  ...",vi,vi
vnpt,vi.wikipedia.org,Tập đoàn Bưu chính Viễn thông Việt Nam – Wikipedia tiếng Việt,"Tập đoàn Bưu chính Viễn thông Việt Nam (tên giao dịch quốc tế: Vietnam Posts and Telecommunications Group, viết tắt: VNPT) là một doanh nghiệp nhà nước ...",vi,vi
vnpt,vnpttphcm.com.vn,VNPT TP.Hồ Chí Minh,"Tư vấn lắp đặt dịch vụ viễn thông VNPT ở Tp Hồ Chí Minh, Làm Hợp Đồng Tại Nhà, lắp đặt nhanh chống, Liên Hệ: 0941773777.",vi,vi
vnpt,vnpthaiphong.vn,VNPT Hải Phòng,"Cung cấp dịch vụ Internet cáp quang, Truyền hình độ nét 4K, Di động... cho cá nhân, hộ gia đình và các sản phẩm VT-CNTT cho doanh nghiệp tại Hải Phòng.",vi,vi
vnpt,vnptpay.vn,VNPT Pay,"Thanh toán cước dịch vụ VNPT. Thanh toán cước Vinaphone trả sau, điện thoại cố định, Internet cáp quang FiberVNN, truyền hình MyTV dễ dàng và nhanh ...",vi,tl
vtvgiaitri,www.vtvgiaitri.vn,VTV Giải Trí,"VTV Giải trí. Tổng hợp chương trình giải trí đặc sắc của VTV. Xem tivi trực tuyến công nghệ 4.0, tốc độ nhanh, ổn định, chất lượng HD. Xem ngay tại vtvgiaitri.vn.",vi,vi
avast,www.avast.com,Tải Free Antivirus & VPN | Miễn phí 100 ...,"Cùng 435 triệu người tải phần mềm chống virus miễn phí đạt giải thưởng cho PC , máy Mac & Android. An tâm lướt web với VPN. Tải Avast ngay!",vi,vi
avast,vi.wikipedia.org,Avast Antivirus – Wikipedia tiếng Việt,"(hoặc avast!) là một chương trình máy tính chống virus dành cho Microsoft Windows, Mac OS X và Linux, với một giao diện người dùng có sẵn trong 45 ngôn ...",vi,vi
wpu,www.wpunj.edu,William Paterson University - Colleges and Graduate Programs in ...,"WPU logo black. William Paterson University. 300 Pompton Road. Wayne, New Jersey 07470.",en,en
wpu,mitwpu.edu.in,"MIT-WPU: MIT-World Peace University, Pune India","MIT-World Peace University (MIT-WPU), is listed in the best private universities in India. To get admission in top Engineering, Management, Arts, Science, ...",en,en
wpu,www.wpu.edu.ph,Welcome to WESTERN PHILIPPINES UNIVERSITY Web Site,"The Western Philippines University, a knowledge center for sustainable resource development and management.",en,en
grab,www.grab.com,"Ứng dụng đặt xe: Xe hơi riêng, taxi và xe ...","Grab là cầu nối giữa khách hàng và Đối tác Tài xế. Di chuyển thoải mái với dịch vụ đặt xe hơi riêng, taxi, xe máy nhanh chóng, dễ dàng và an toàn.",vi,vi
grab,vi.wikipedia.org,Grab – Wikipedia tiếng Việt,"Grab (trước đây gọi là GrabTaxi) là một công ty công nghệ có trụ sở tại Singapore cung cấp các dịch vụ vận chuyển và đi lại bằng xe hơi tại Singapore và các ...

Thành lập:  
Người sáng lập:  
Loại hình:  
Trụ sở chính: ",vi,vi
nanda,nanda.org,Welcome to NANDA International | Defining the Knowledge of Nursing,"A Message of Support from NANDA-International. Thank you to all nurses and other healthcare professionals for your dedication and courage on the front lines  ...
  ·   ·   · ",en,en
nanda,nanda.org,About Us | Welcome to NANDA International,"About NANDA International. Nursing diagnoses communicate the professional judgments that nurses make every day to our patients, colleagues, members of ...",en,en
nanda,en.wikipedia.org,NANDA - Wikipedia,"NANDA International is a professional organization of nurses interested in standardized nursing terminology, that was officially founded in 1982 and develops, ...
  ·   ·   ·  

Country:  
Key people:  
Members:  
Office location: ",en,sw
